LATITUDE;LONGITUDE;NOM_PS;REGION;USER_ID;ZONE_OBS;ZONE_PREVI;COMMUNE;DATE;SEMAINE;DOY;PLUIE_H1;PLUIE_H2;PLUIE_H3;RISQUE_H1_ROSSI;RISQUE_H2_ROSSI;RISQUE_H3_ROSSI;RISQUE_H1_POTSYS;RISQUE_H2_POTSYS;RISQUE_H3_POTSYS;RISQUE_H1_MILSTOP;RISQUE_H2_MILSTOP;RISQUE_H3_MILSTOP;RISQUE_H1_MILVIT;RISQUE_H2_MILVIT;RISQUE_H3_MILVIT;DATE_AGOL
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-01;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;;;;1.0;4.0;2.0;1.0;4.0;2.0;2025-12-31 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-02;1.0;2.0;0.0;0.0;0.0;1.0;1.0;1.0;;;;1.0;1.0;1.0;1.0;1.0;1.0;2026-01-01 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-03;1.0;3.0;0.0;0.0;0.0;1.0;1.0;1.0;;;;1.0;1.0;1.0;1.0;1.0;3.0;2026-01-02 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-04;1.0;4.0;0.0;0.0;0.0;1.0;1.0;1.0;;;;3.0;2.0;1.0;1.0;2.0;1.0;2026-01-03 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-05;2.0;5.0;0.0;0.0;0.0;1.0;1.0;1.0;;;;3.0;1.0;1.0;1.0;1.0;1.0;2026-01-04 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-06;2.0;6.0;0.2;0.2;0.2;1.0;1.0;1.0;;;;1.0;1.0;3.0;1.0;3.0;3.0;2026-01-05 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-07;2.0;7.0;0.1;0.1;0.1;1.0;1.0;1.0;;;;1.0;2.0;2.0;1.0;1.0;4.0;2026-01-06 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-08;2.0;8.0;11.1;11.1;11.1;1.0;1.0;1.0;;;;3.0;1.0;1.0;1.0;1.0;3.0;2026-01-07 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-09;2.0;9.0;10.4;10.4;10.4;1.0;1.0;1.0;;;;3.0;1.0;1.0;2.0;1.0;1.0;2026-01-08 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-10;2.0;10.0;4.9;4.9;4.9;1.0;1.0;1.0;;;;1.0;1.0;1.0;4.0;1.0;1.0;2026-01-09 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-11;2.0;11.0;0.0;0.0;0.0;1.0;1.0;1.0;;;;2.0;1.0;1.0;1.0;2.0;2.0;2026-01-10 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-12;3.0;12.0;0.0;0.0;0.0;1.0;1.0;1.0;;;;1.0;2.0;2.0;2.0;3.0;4.0;2026-01-11 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-13;3.0;13.0;0.0;0.0;0.0;1.0;1.0;1.0;;;;1.0;1.0;4.0;1.0;1.0;2.0;2026-01-12 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-14;3.0;14.0;0.2;0.2;0.2;1.0;1.0;1.0;;;;2.0;1.0;3.0;3.0;2.0;2.0;2026-01-13 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-15;3.0;15.0;0.1;0.1;0.1;1.0;1.0;1.0;;;;2.0;2.0;2.0;1.0;3.0;2.0;2026-01-14 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-16;3.0;16.0;1.5;1.5;1.5;1.0;1.0;1.0;;;;2.0;1.0;4.0;1.0;3.0;3.0;2026-01-15 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-17;3.0;17.0;3.3000000000000003;3.3000000000000003;3.3000000000000003;1.0;1.0;1.0;;;;3.0;2.0;3.0;1.0;1.0;1.0;2026-01-16 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-18;3.0;18.0;0.6;0.6;0.6;1.0;1.0;1.0;;;;2.0;2.0;3.0;2.0;3.0;2.0;2026-01-17 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-19;4.0;19.0;3.1;3.1;3.1;1.0;1.0;1.0;;;;2.0;1.0;4.0;1.0;2.0;2.0;2026-01-18 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-20;4.0;20.0;0.0;0.0;0.0;1.0;1.0;1.0;;;;3.0;3.0;2.0;1.0;1.0;1.0;2026-01-19 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-21;4.0;21.0;5.1;5.1;5.1;1.0;1.0;1.0;;;;2.0;2.0;3.0;1.0;1.0;1.0;2026-01-20 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-22;4.0;22.0;2.0;2.0;2.0;1.0;1.0;1.0;;;;1.0;1.0;3.0;2.0;1.0;2.0;2026-01-21 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-23;4.0;23.0;4.2;4.2;4.2;1.0;1.0;1.0;;;;1.0;2.0;1.0;2.0;2.0;1.0;2026-01-22 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-24;4.0;24.0;4.1;4.1;4.1;1.0;1.0;1.0;;;;1.0;1.0;4.0;2.0;2.0;2.0;2026-01-23 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-25;4.0;25.0;15.8;15.8;15.8;1.0;1.0;1.0;;;;1.0;1.0;2.0;1.0;1.0;4.0;2026-01-24 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-26;5.0;26.0;0.1;0.1;0.1;1.0;1.0;1.0;;;;2.0;1.0;1.0;1.0;2.0;2.0;2026-01-25 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-27;5.0;27.0;7.4;7.4;7.4;1.0;1.0;1.0;;;;3.0;2.0;1.0;4.0;1.0;2.0;2026-01-26 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-28;5.0;28.0;5.4;5.4;5.4;1.0;1.0;1.0;;;;1.0;3.0;1.0;1.0;3.0;1.0;2026-01-27 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-29;5.0;29.0;4.300000000000001;4.300000000000001;4.300000000000001;1.0;1.0;1.0;;;;3.0;3.0;2.0;3.0;1.0;1.0;2026-01-28 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-30;5.0;30.0;4.5;4.5;4.5;1.0;1.0;1.0;;;;1.0;2.0;1.0;2.0;1.0;1.0;2026-01-29 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-01-31;5.0;31.0;9.1;9.1;9.1;1.0;1.0;1.0;;;;1.0;2.0;1.0;1.0;1.0;3.0;2026-01-30 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-02-01;5.0;32.0;5.5;5.5;5.5;1.0;1.0;1.0;;;;1.0;1.0;4.0;2.0;1.0;1.0;2026-01-31 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-02-02;6.0;33.0;6.0;6.0;6.0;1.0;1.0;1.0;;;;1.0;1.0;1.0;2.0;3.0;2.0;2026-02-01 23:00:00+00:00
44.884;-0.163;-00.163_44.884;33.0;33.0;Libournais;BLAYAIS;SAINT-EMILION;2026-02-03;6.0;34.0;2.2;2.2;2.2;1.0;1.0;1.0;;;;1.0;3.0;1.0;4.0;2.0;1.0;2026-02-02 23:00:00+00:00
